Country,Code,date,policy,,,,
Croatia,HRV,01/06/2022,No measures,,,,
Cuba,CUB,01/06/2020,Required (few exceptions),,,,
Cuba,CUB,01/06/2021,Required (except essentials),,,,
Cuba,CUB,01/06/2022,No measures,,,,
Cyprus,CYP,01/06/2020,Recommended,,,,
Cyprus,CYP,01/06/2021,Required (except essentials),,,,
Cyprus,CYP,01/06/2022,No measures,,,,
Czechia,CZE,01/06/2020,No measures,,,,
Czechia,CZE,01/06/2021,No measures,,,,
Czechia,CZE,01/06/2022,No measures,,,,
Democratic Republic of Congo,COD,01/06/2020,Required (except essentials),,,,
Democratic Republic of Congo,COD,01/06/2021,Required (except essentials),,,,
Democratic Republic of Congo,COD,01/06/2022,No measures,,,,
Denmark,DNK,01/06/2020,Recommended,,,,
Denmark,DNK,01/06/2021,No measures,,,,
Denmark,DNK,01/06/2022,No measures,,,,
Djibouti,DJI,01/06/2020,No measures,,,,
Djibouti,DJI,01/06/2021,No measures,,,,
Djibouti,DJI,01/06/2022,No measures,,,,
Dominica,DMA,01/06/2020,Recommended,,,,
Dominica,DMA,01/06/2021,No measures,,,,
Dominica,DMA,01/06/2022,No measures,,,,
Dominican Republic,DOM,01/06/2020,Required (except essentials),,,,
Dominican Republic,DOM,01/06/2021,Required (except essentials),,,,
Dominican Republic,DOM,01/06/2022,No measures,,,,
East Timor,TLS,01/06/2020,Recommended,,,,
East Timor,TLS,01/06/2021,Required (except essentials),,,,
East Timor,TLS,01/06/2022,No measures,,,,
Ecuador,ECU,01/06/2020,Required (except essentials),,,,
Ecuador,ECU,01/06/2021,No measures,,,,
Ecuador,ECU,01/06/2022,No measures,,,,
Egypt,EGY,01/06/2020,Required (except essentials),,,,
Egypt,EGY,01/06/2021,No measures,,,,
Egypt,EGY,01/06/2022,No measures,,,,
El Salvador,SLV,01/06/2020,Required (few exceptions),,,,
El Salvador,SLV,01/06/2021,No measures,,,,
El Salvador,SLV,01/06/2022,No measures,,,,
Eritrea,ERI,01/06/2020,Required (except essentials),,,,
Eritrea,ERI,01/06/2021,Recommended,,,,
Eritrea,ERI,01/06/2022,Recommended,,,,
Estonia,EST,01/06/2020,No measures,,,,
Estonia,EST,01/06/2021,No measures,,,,
Estonia,EST,01/06/2022,No measures,,,,
Eswatini,SWZ,01/06/2020,Required (except essentials),,,,
Eswatini,SWZ,01/06/2021,Recommended,,,,
Eswatini,SWZ,01/06/2022,No measures,,,,
Ethiopia,ETH,01/06/2020,Recommended,,,,
Ethiopia,ETH,01/06/2021,No measures,,,,
Ethiopia,ETH,01/06/2022,No measures,,,,
Faroe Islands,FRO,01/06/2020,No measures,,,,
Faroe Islands,FRO,01/06/2021,Recommended,,,,
Faroe Islands,FRO,01/06/2022,No measures,,,,
Fiji,FJI,01/06/2020,Required (except essentials),,,,
Fiji,FJI,01/06/2021,Required (except essentials),,,,
Fiji,FJI,01/06/2022,No measures,,,,
Finland,FIN,01/06/2020,No measures,,,,
Finland,FIN,01/06/2021,Recommended,,,,
Finland,FIN,01/06/2022,No measures,,,,
France,FRA,01/06/2020,Recommended,,,,
France,FRA,01/06/2021,Required (except essentials),,,,
France,FRA,01/06/2022,No measures,,,,
Gabon,GAB,01/06/2020,Required (except essentials),,,,
Gabon,GAB,01/06/2021,Required (except essentials),,,,
Gabon,GAB,01/06/2022,No measures,,,,
Gambia,GMB,01/06/2020,Recommended,,,,
Gambia,GMB,01/06/2021,No measures,,,,
Gambia,GMB,01/06/2022,No measures,,,,
Georgia,GEO,01/06/2020,Required (except essentials),,,,
Georgia,GEO,01/06/2021,Required (except essentials),,,,
Georgia,GEO,01/06/2022,No measures,,,,
Germany,DEU,01/06/2020,No measures,,,,
Germany,DEU,01/06/2021,Required (except essentials),,,,
Germany,DEU,01/06/2022,No measures,,,,
Ghana,GHA,01/06/2020,No measures,,,,
Ghana,GHA,01/06/2021,Recommended,,,,
Ghana,GHA,01/06/2022,No measures,,,,
Greece,GRC,01/06/2020,Recommended,,,,
Greece,GRC,01/06/2021,Recommended,,,,
Greece,GRC,01/06/2022,No measures,,,,
Greenland,GRL,01/06/2020,Recommended,,,,
